temp,thermal_exp
972.2627737,4.271255709
896.350365,4.11854483
875.9124088,3.925949491
826.2773723,3.93377181
832.1167883,3.853581326
782.4817518,3.580654983
773.7226277,3.516448729
724.0875912,3.564378001
671.5328467,3.13903353
575.1824818,3.202818221
525.5474453,2.889784925
528.4671533,2.865732464
566.4233577,2.713478278
472.9927007,2.648932433
437.9562044,2.247722394
432.1167883,2.17550646
484.6715328,2.263952535
338.6861314,1.485292166
341.6058394,1.445196924
367.8832117,1.605730122
376.6423358,1.653893595
321.1678832,0.971852922
312.4087591,1.188395332
297.810219,1.019887583
280.2919708,0.915539248
207.2992701,0.393856122
245.2554745,0.594543113
259.8540146,0.658772786
178.1021898,0.257375385
113.8686131,0.080647176
87.59124088,0.064499005
55.47445255,0.016241852
,